Rank,RMSE,Length,Model Equation
127,0.7340,24,"mul(0.482, add(M, add(div(add(add(E, div(La, mul(neg(4.785), sub(EN, Y)))), div(La, sub(Ce, La))), Y), E)))"
128,0.7349,17,"add(div(div(sub(Pr, LAS), div(mul(LAS, IE), add(Ce, Ce))), sub(R, Y)), E)"
129,0.7369,37,"mul(0.482, add(add(Ce, div(M, mul(mul(mul(R, div(R, M)), div(R, M)), div(R, add(Ce, div(M, mul(mul(mul(R, div(R, M)), div(R, M)), div(R, M)))))))), E))"
130,0.7369,37,"mul(0.482, add(add(Ce, div(mul(M, div(mul(add(Ce, div(mul(M, div(mul(M, div(mul(M, div(M, R)), R)), R)), R)), div(mul(M, div(M, R)), R)), R)), R)), E))"
131,0.7369,37,"mul(0.482, add(add(Ce, div(mul(div(mul(div(mul(div(M, R), M), R), add(Ce, div(mul(div(mul(div(mul(div(M, R), M), R), M), R), M), R))), R), M), R)), E))"
132,0.7369,37,"mul(0.482, add(E, add(Ce, div(mul(M, mul(div(add(Ce, div(mul(M, mul(div(M, R), mul(div(M, R), M))), mul(R, R))), R), mul(div(M, R), M))), mul(R, R)))))"
133,0.7369,37,"mul(0.482, add(add(Ce, div(mul(M, M), div(mul(R, R), div(mul(M, add(Ce, div(mul(M, M), div(mul(R, R), div(mul(M, M), mul(R, R)))))), mul(R, R))))), E))"
134,0.7375,23,"add(div(div(div(M, Y), sub(Gd, E)), Y), add(div(sub(R, LAS), LAS), add(div(sub(M, La), 2.145), E)))"
135,0.7397,24,"add(div(div(sub(M, La), sub(R, 3.995)), sub(R, 3.995)), add(div(neg(sub(sub(E, Ce), sub(R, E))), LAS), E))"
136,0.7408,17,"mul(0.482, add(add(Ce, div(M, R)), add(div(sub(Gd, Ce), sub(Y, La)), E)))"
137,0.7419,17,"mul(0.482, add(Nd, sub(sub(E, sub(Y, E)), mul(add(La, -5.653), add(Gd, -5.046)))))"
138,0.7420,19,"add(Ce, div(mul(sub(Ce, mul(div(E, R), M)), sub(sub(R, Sm), Sm)), add(La, R)))"
139,0.7437,27,"add(div(div(sub(M, La), sub(sub(R, 2.920), sub(LAS, Y))), sub(sub(R, 2.920), sub(LAS, Y))), add(div(sub(Ce, E), 2.920), E))"
140,0.7440,25,"add(Ce, div(Sm, add(mul(mul(mul(sub(mul(Nd, div(M, Ce)), -8.556), sub(EN, Gd)), sub(LAS, Y)), sub(Pr, Gd)), R)))"
141,0.7464,45,"add(mul(0.482, add(Ce, E)), div(div(div(div(M, div(R, add(mul(0.482, add(Ce, E)), div(div(div(div(M, div(R, M)), div(R, M)), div(R, M)), add(R, R))))), div(R, M)), div(R, M)), add(R, R)))"
142,0.7486,21,"add(div(sub(R, E), div(LAS, 2.140)), add(div(div(sub(M, La), sub(R, 4.195)), sub(R, 4.195)), E))"
143,0.7487,15,"add(Ce, div(La, add(mul(M, sub(add(6.549, R), add(EN, La))), Y)))"
144,0.7488,21,"add(div(sub(Ce, E), LAS), add(div(sub(R, E), LAS), add(div(sub(M, La), sub(R, 3.921)), E)))"
145,0.7490,27,"add(div(mul(mul(sub(M, La), sub(M, La)), sub(M, La)), 6.867), add(div(sub(R, E), LAS), add(div(sub(R, E), LAS), E)))"
146,0.7490,30,"add(div(neg(add(add(E, Sm), sub(Gd, add(Ce, Nd)))), neg(add(add(add(add(div(Gd, LAS), sub(R, Sm)), R), R), neg(M)))), add(-0.445, Ce))"
147,0.7491,19,"add(mul(0.482, add(Ce, E)), div(EN, div(mul(R, sub(R, sub(8.249, R))), sub(M, 4.165))))"
148,0.7491,21,"add(div(sub(R, E), add(LAS, -2.327)), add(div(div(sub(M, La), add(R, -4.084)), add(R, -4.084)), E))"
149,0.7493,29,"add(Ce, div(Gd, mul(add(Ce, sub(add(add(add(add(R, sub(Nd, Gd)), sub(Nd, Gd)), sub(Ce, Sm)), sub(Nd, Sm)), Gd)), div(8.845, Sm))))"
150,0.7498,21,"add(div(sub(M, La), sub(R, 3.871)), add(div(sub(Ce, E), LAS), add(div(sub(R, E), LAS), E)))"
151,0.7515,21,"add(div(sub(Ce, E), LAS), add(div(sub(M, La), sub(R, 3.807)), add(div(sub(R, E), LAS), E)))"
