Rank,RMSE,Length,Model Equation
53,0.6294,23,"add(sub(div(sub(Sm, E), E), div(div(neg(add(neg(IE), add(E, Ce))), sub(R, Y)), mul(Gd, Gd))), E)"
54,0.6296,18,"add(div(div(neg(add(LAS, -7.234)), sub(R, Y)), Gd), add(div(sub(Sm, E), E), E))"
55,0.6304,19,"add(div(div(Y, M), mul(Nd, sub(R, Y))), add(sub(div(Pr, E), div(LAS, Sm)), E))"
56,0.6306,30,"add(Sm, sub(add(div(sub(add(div(sub(EN, IE), mul(-2.354, sub(E, 6.363))), E), Y), mul(mul(neg(Ce), sub(IE, Ce)), sub(E, 6.363))), E), 6.363))"
57,0.6310,20,"add(div(add(sub(Sm, E), div(div(mul(Ce, 6.746), sub(Y, R)), neg(mul(Gd, Gd)))), Nd), E)"
58,0.6310,19,"add(Sm, sub(add(div(div(mul(R, div(Y, LAS)), mul(sub(R, Y), Gd)), Gd), E), 6.720))"
59,0.6315,24,"add(div(div(div(Ce, add(neg(add(Y, Gd)), neg(neg(R)))), sub(Y, R)), Gd), add(div(sub(Sm, E), E), E))"
60,0.6340,31,"add(div(sub(Sm, E), add(div(neg(div(neg(div(Ce, Gd)), sub(R, Y))), Gd), E)), add(div(neg(div(neg(div(Ce, Gd)), sub(R, Y))), Gd), E))"
61,0.6340,29,"add(div(sub(Sm, E), add(div(div(div(Ce, Gd), sub(Y, R)), neg(Gd)), E)), add(div(div(div(Ce, Gd), sub(Y, R)), neg(Gd)), E))"
62,0.6340,27,"add(div(sub(Sm, E), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E)), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E))"
63,0.6340,27,"add(div(sub(Sm, E), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E)), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E))"
64,0.6340,27,"add(div(sub(Sm, E), add(div(div(Ce, Gd), mul(Gd, sub(R, Y))), E)), add(div(div(Ce, Gd), mul(Gd, sub(R, Y))), E))"
65,0.6340,29,"add(div(sub(Pr, E), add(div(div(div(neg(Ce), Gd), sub(Y, R)), Gd), E)), add(div(div(div(neg(Ce), Gd), sub(Y, R)), Gd), E))"
66,0.6340,27,"add(div(sub(Pr, E), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E)), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E))"
67,0.6351,17,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(div(sub(Pr, E), E), E))"
68,0.6351,17,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(div(sub(Pr, E), E), E))"
69,0.6351,18,"add(div(Ce, mul(sub(Y, R), mul(Gd, neg(Gd)))), add(div(sub(Pr, E), E), E))"
70,0.6351,18,"sub(add(div(sub(Pr, E), E), E), div(neg(Ce), mul(mul(Gd, Gd), sub(R, Y))))"
71,0.6351,17,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(div(sub(Sm, E), E), E))"
72,0.6351,18,"add(div(neg(div(div(Ce, Gd), sub(Y, R))), Gd), add(div(sub(Sm, E), E), E))"
73,0.6351,17,"add(div(div(Ce, Gd), mul(sub(R, Y), Gd)), add(div(sub(Sm, E), E), E))"
74,0.6351,17,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(div(sub(Sm, E), E), E))"
75,0.6351,17,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(div(sub(Sm, E), E), E))"
76,0.6355,15,"add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(sub(Sm, 6.747), E))"
77,0.6355,16,"add(div(Ce, mul(Gd, neg(mul(Gd, sub(Y, R))))), add(Sm, sub(E, 6.731)))"
78,0.6356,15,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(add(Sm, -6.729), E))"
79,0.6356,16,"add(Sm, sub(add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E), neg(-6.751)))"
80,0.6356,16,"add(sub(add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E), neg(-6.752)), Sm)"
81,0.6356,15,"add(Sm, sub(sub(E, div(div(div(Ce, Gd), sub(Y, R)), Gd)), 6.725))"
82,0.6363,15,"add(sub(add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E), 6.707), Sm)"
83,0.6364,16,"add(div(div(div(neg(Ce), Gd), sub(Y, R)), Gd), add(add(Sm, -6.774), E))"
84,0.6378,16,"add(div(Ce, mul(mul(Nd, Gd), neg(sub(Y, R)))), add(sub(Sm, 6.711), E))"
85,0.6378,29,"add(div(sub(div(sub(sub(EN, LAS), sub(E, Sm)), E), sub(E, Sm)), E), add(div(div(div(sub(1.986, R), sub(Y, R)), M), 4.121), E))"
86,0.6383,19,"add(neg(div(div(sub(8.915, Gd), sub(Y, R)), neg(mul(-3.074, Nd)))), add(add(-6.723, Sm), E))"
87,0.6386,15,"add(add(Sm, -6.803), add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E))"
88,0.6389,38,"add(sub(add(div(div(sub(-6.838, mul(mul(mul(div(M, EN), div(Pr, Gd)), M), E)), mul(sub(mul(Ce, EN), mul(La, M)), mul(mul(Nd, E), sub(R, Ce)))), IE), E), neg(-6.838)), Sm)"
89,0.6407,19,"add(div(div(div(-3.106, Gd), sub(Y, R)), add(M, -3.106)), add(div(sub(Sm, E), E), E))"
90,0.6424,17,"add(div(div(div(Y, Gd), sub(R, Y)), Gd), add(div(sub(Pr, E), E), E))"
91,0.6429,16,"add(div(Ce, mul(mul(Gd, Gd), sub(R, Y))), add(sub(E, neg(-6.838)), Sm))"
92,0.6429,16,"add(div(div(div(Ce, Gd), sub(R, Y)), Gd), add(sub(E, neg(-6.838)), Sm))"
93,0.6429,16,"add(Sm, sub(add(div(Ce, mul(mul(Gd, Gd), sub(R, Y))), E), neg(-6.838)))"
94,0.6432,17,"add(div(sub(Sm, E), E), add(div(div(div(Y, Gd), sub(R, Y)), Nd), E))"
95,0.6455,19,"add(div(sub(div(sub(sub(Gd, LAS), div(7.409, LAS)), sub(Y, R)), sub(E, Sm)), Nd), E)"
96,0.6460,35,"add(div(sub(M, Y), Nd), add(div(mul(div(-4.315, sub(Nd, La)), sub(add(Ce, add(div(sub(Sm, E), E), E)), add(Gd, M))), La), add(div(sub(Sm, E), E), E)))"
97,0.6465,15,"add(Sm, sub(add(div(div(sub(Y, LAS), sub(Pr, EN)), 3.968), E), 6.537))"
98,0.6469,27,"add(div(sub(8.478, E), add(div(div(sub(Ce, M), sub(Pr, EN)), 7.249), E)), add(div(div(sub(Ce, M), sub(Pr, EN)), 7.249), E))"
99,0.6471,16,"add(Sm, sub(add(div(div(div(Ce, Gd), sub(R, Y)), Gd), E), neg(-6.862)))"
100,0.6475,17,"add(div(sub(Sm, LAS), 2.991), add(div(sub(M, Ce), mul(Sm, sub(EN, Pr))), E))"
101,0.6496,22,"add(div(Ce, mul(div(mul(add(sub(Ce, Gd), neg(E)), Gd), sub(div(-7.653, sub(R, Y)), Sm)), Gd)), E)"
102,0.6504,19,"add(div(sub(Sm, sub(E, sub(Sm, sub(E, div(div(Ce, Gd), sub(R, Y)))))), Nd), E)"
103,0.6504,20,"add(div(neg(sub(add(sub(add(div(div(Ce, Gd), sub(Y, R)), E), Sm), E), Sm)), Nd), E)"
104,0.6504,19,"add(div(add(add(div(div(Ce, Gd), sub(R, Y)), sub(Pr, E)), sub(Pr, E)), Nd), E)"
105,0.6504,19,"add(div(sub(sub(div(div(Ce, Gd), sub(R, Y)), sub(E, Pr)), sub(E, Pr)), Nd), E)"
106,0.6504,19,"sub(E, div(add(add(div(div(Ce, Gd), sub(Y, R)), sub(E, Pr)), sub(E, Pr)), Nd))"
107,0.6522,17,"add(div(div(sub(Ce, M), sub(Pr, EN)), 7.736), add(div(sub(Pr, IE), 3.601), E))"
108,0.6537,15,"add(sub(Sm, 6.534), sub(E, div(sub(Ce, M), mul(sub(EN, Pr), 7.995))))"
109,0.6537,29,"add(div(sub(Pr, E), La), add(div(sub(M, R), mul(sub(EN, Sm), Gd)), add(div(sub(M, E), La), add(div(sub(Sm, IE), La), E))))"
110,0.6542,41,"add(div(sub(Sm, LAS), add(add(div(sub(Gd, E), add(La, sub(add(mul(M, R), La), mul(EN, Nd)))), E), -2.908)), add(div(sub(Gd, E), add(La, sub(add(mul(M, R), La), mul(EN, Nd)))), E))"
111,0.6545,15,"add(Sm, sub(add(div(div(sub(Ce, M), sub(Pr, EN)), 7.981), E), 6.560))"
112,0.6562,21,"add(div(div(div(Ce, sub(R, Y)), sub(sub(IE, Ce), neg(IE))), sub(sub(IE, Ce), neg(Gd))), E)"
113,0.6582,18,"add(div(sub(LAS, Y), mul(sub(Sm, EN), neg(div(Y, 1.536)))), add(add(Sm, -6.709), E))"
114,0.6598,23,"add(div(sub(Gd, Y), sub(mul(LAS, La), div(mul(La, E), div(LAS, Gd)))), add(div(sub(Sm, IE), 3.560), E))"
115,0.6600,21,"add(div(add(sub(LAS, Nd), sub(R, Gd)), sub(mul(Pr, Y), mul(Y, EN))), add(add(Sm, -6.828), E))"
116,0.6622,33,"add(div(sub(Sm, IE), add(Y, div(M, mul(add(R, E), sub(Nd, EN))))), add(div(sub(Sm, IE), add(Y, div(M, mul(add(R, E), sub(Nd, EN))))), E))"
117,0.6681,25,"add(div(sub(R, Gd), Nd), add(div(sub(Pr, E), E), add(div(Gd, mul(mul(Nd, -3.830), mul(Nd, add(-6.524, LAS)))), E)))"
118,0.6706,26,"add(div(sub(M, IE), La), add(div(neg(div(mul(-5.130, Ce), mul(mul(Nd, E), sub(div(Gd, Sm), sub(Nd, E))))), Nd), E))"
119,0.6709,17,"add(div(add(div(div(Ce, mul(-1.996, M)), sub(Y, R)), sub(6.514, E)), 3.069), E)"
120,0.6709,20,"add(add(div(sub(Gd, E), neg(sub(-1.639, mul(sub(Pr, EN), 8.550)))), E), div(sub(LAS, Sm), -2.740))"
121,0.6730,18,"add(div(neg(div(div(-2.891, Gd), sub(R, Y))), 3.843), add(div(sub(Sm, E), E), E))"
122,0.6749,15,"add(div(div(sub(LAS, Y), sub(EN, Pr)), Ce), add(Sm, sub(E, 6.703)))"
123,0.6749,23,"add(div(sub(Pr, Gd), mul(sub(Gd, E), Nd)), add(div(sub(Pr, E), add(mul(Pr, La), mul(-5.018, EN))), E))"
124,0.6780,26,"add(div(mul(sub(R, Nd), sub(Ce, Gd)), mul(add(neg(E), sub(Nd, Y)), sub(EN, M))), add(div(sub(M, E), 3.420), E))"
125,0.6792,23,"add(div(div(sub(LAS, Y), sub(EN, Sm)), Nd), add(div(sub(Sm, Gd), Nd), add(div(sub(M, E), La), E)))"
126,0.6811,16,"add(div(div(sub(IE, sub(div(Sm, IE), neg(R))), sub(Y, R)), La), E)"
127,0.6812,31,"add(div(sub(EN, Y), add(div(sub(Y, Pr), sub(Nd, LAS)), Ce)), add(div(sub(EN, Y), add(mul(Gd, sub(Nd, Ce)), La)), add(add(Sm, -6.656), E)))"
128,0.6839,45,"add(div(sub(Sm, Gd), add(div(sub(M, Y), add(sub(sub(La, Gd), neg(Y)), div(div(-2.124, IE), sub(EN, Pr)))), E)), add(div(sub(M, Y), add(sub(sub(La, Gd), neg(Y)), div(div(-2.124, IE), sub(EN, Pr)))), E))"
129,0.6844,15,"add(div(sub(Sm, 4.771), add(div(div(IE, LAS), sub(Nd, EN)), Gd)), E)"
130,0.6849,19,"add(div(sub(Pr, Gd), La), add(div(sub(M, E), mul(add(IE, sub(1.187, Nd)), 4.008)), E))"
131,0.6849,23,"add(div(div(div(M, IE), sub(R, Y)), div(mul(div(mul(div(mul(Gd, Gd), Ce), Gd), Ce), Gd), Ce)), E)"
132,0.6911,13,"add(div(sub(EN, IE), sub(R, div(R, sub(EN, IE)))), E)"
133,0.6936,13,"add(div(sub(EN, IE), add(div(La, sub(IE, EN)), La)), E)"
134,0.6970,15,"add(div(div(div(La, Gd), sub(R, Y)), La), add(add(-6.788, Sm), E))"
135,0.6998,28,"add(div(sub(Sm, LAS), E), add(div(sub(Sm, E), E), add(div(div(div(div(add(Nd, La), neg(sub(Y, R))), La), Y), La), E)))"
136,0.7011,21,"add(div(mul(sub(Gd, Ce), sub(Nd, R)), div(La, sub(Nd, 3.952))), add(div(sub(M, E), 3.952), E))"
137,0.7026,19,"add(div(sub(Gd, E), add(5.548, mul(sub(R, E), Gd))), add(div(sub(Sm, IE), IE), E))"
138,0.7087,26,"add(neg(div(sub(Y, Nd), mul(mul(4.203, Ce), sub(R, Ce)))), add(div(sub(Ce, IE), IE), add(div(sub(M, E), E), E)))"
139,0.7111,39,"add(add(div(sub(M, Ce), sub(mul(IE, Sm), mul(sub(M, LAS), mul(E, Gd)))), E), div(sub(Sm, IE), add(div(sub(M, Ce), sub(mul(IE, Sm), mul(sub(M, LAS), mul(E, Gd)))), E)))"
140,0.7147,17,"add(div(div(neg(Ce), mul(sub(R, Y), mul(div(Gd, Pr), neg(Gd)))), Gd), E)"
141,0.7173,21,"add(div(sub(Sm, E), 3.558), add(div(div(div(sub(La, Nd), sub(Ce, Pr)), sub(M, EN)), Ce), E))"
142,0.7200,38,"add(div(sub(Sm, E), La), add(div(sub(Sm, Y), La), add(div(div(mul(neg(add(R, Gd)), neg(add(5.287, Pr))), mul(mul(sub(Y, R), add(Sm, Ce)), neg(mul(La, R)))), La), E)))"
