Rank,RMSE,Length,Model Equation
37,0.4855,41,"add(div(div(sub(Pr, E), add(sub(Nd, Pr), E)), div(Y, Ce)), add(div(add(div(div(neg(R), div(add(neg(E), M), La)), add(sub(R, R), E)), Pr), mul(sub(R, Y), mul(Y, M))), E))"
38,0.4862,63,"add(div(sub(Pr, E), mul(add(div(add(div(neg(R), sub(M, E)), M), mul(Nd, mul(M, IE))), add(div(div(sub(Pr, E), add(neg(E), Nd)), E), E)), M)), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(M, Y))), add(div(sub(Pr, E), mul(add(neg(E), Nd), LAS)), E)))"
39,0.4873,33,"add(div(add(div(div(neg(R), div(add(neg(E), M), La)), M), Sm), mul(sub(R, Y), mul(Sm, LAS))), add(div(sub(Pr, E), mul(Nd, sub(Nd, E))), E))"
40,0.4874,37,"add(div(add(div(div(neg(La), div(add(neg(E), M), La)), E), EN), mul(sub(R, Y), mul(Nd, Gd))), add(div(sub(Pr, E), add(div(Ce, sub(sub(Pr, E), Y)), E)), E))"
41,0.4878,32,"add(div(add(div(div(neg(Y), div(sub(M, E), La)), EN), EN), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(Pr, E), add(sub(Nd, Pr), E)), E))"
42,0.4880,43,"add(div(sub(Pr, add(div(div(Ce, Pr), sub(Pr, E)), E)), add(sub(LAS, Sm), E)), add(div(sub(Sm, E), add(Sm, Nd)), add(div(add(div(La, sub(E, M)), M), mul(sub(R, Y), mul(EN, E))), E)))"
43,0.4880,49,"add(div(add(div(R, sub(E, M)), add(div(add(div(R, sub(E, M)), Gd), mul(sub(R, Y), mul(E, Gd))), add(div(sub(Sm, E), E), E))), mul(sub(R, Y), mul(E, Gd))), add(div(sub(Sm, E), add(sub(E, Ce), E)), E))"
44,0.4890,33,"add(div(add(div(div(neg(E), div(add(neg(E), M), La)), M), M), mul(sub(R, Y), mul(Sm, LAS))), add(div(div(sub(Pr, E), Nd), sub(Nd, E)), E))"
45,0.4895,57,"add(div(sub(Pr, E), add(sub(E, Ce), add(div(sub(add(EN, div(add(div(LAS, E), E), R)), add(Ce, sub(add(-3.737, div(Y, sub(E, M))), Gd))), mul(sub(R, Y), mul(IE, Nd))), E))), add(div(add(div(La, sub(E, M)), EN), mul(sub(R, Y), mul(IE, Nd))), E))"
46,0.4905,31,"add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Pr, E), mul(sub(Gd, E), Pr)), add(div(sub(Gd, E), mul(sub(La, E), Pr)), E)))"
47,0.4909,31,"add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Pr, E), mul(sub(Nd, E), Pr)), add(div(sub(Gd, La), mul(sub(La, E), M)), E)))"
48,0.4913,34,"add(div(add(div(neg(La), sub(M, E)), EN), mul(sub(R, Y), mul(Gd, E))), add(div(div(sub(Pr, add(div(sub(Pr, Nd), E), E)), sub(Nd, E)), E), E))"
49,0.4923,47,"add(div(add(div(div(neg(R), div(add(neg(E), M), Y)), add(div(div(Ce, mul(Ce, mul(Gd, Gd))), div(Gd, mul(Gd, Gd))), E)), Sm), mul(sub(R, Y), mul(Sm, LAS))), add(div(sub(Pr, E), mul(LAS, sub(Nd, E))), E))"
50,0.4928,37,"add(div(add(div(neg(R), add(neg(E), M)), M), mul(sub(R, Y), mul(Sm, IE))), add(mul(sub(Pr, E), div(sub(Pr, add(div(div(mul(La, E), E), E), E)), E)), E))"
51,0.4934,32,"add(div(add(div(div(neg(La), div(sub(M, E), Ce)), Gd), Pr), mul(sub(R, Y), mul(Sm, Sm))), add(div(sub(Pr, E), mul(sub(Nd, E), LAS)), E))"
52,0.4934,41,"add(div(sub(Pr, E), mul(sub(Nd, E), LAS)), add(div(div(sub(Pr, E), LAS), mul(sub(Nd, E), mul(Gd, Gd))), add(div(add(div(-3.132, sub(M, E)), EN), mul(sub(R, Y), mul(Gd, Gd))), E)))"
53,0.4937,44,"add(div(sub(Pr, E), add(sub(Nd, Sm), E)), add(div(add(div(div(neg(Ce), div(add(neg(E), M), R)), add(div(div(add(neg(E), M), Y), sub(EN, E)), E)), M), mul(sub(R, Y), mul(Gd, Nd))), E))"
54,0.4937,44,"add(div(sub(Pr, E), add(sub(Nd, Sm), E)), add(div(add(div(div(neg(Ce), div(add(neg(E), M), R)), add(div(div(add(neg(E), M), Y), sub(EN, E)), E)), M), mul(sub(R, Y), mul(Gd, Nd))), E))"
55,0.4938,52,"add(div(sub(Pr, E), add(neg(sub(Sm, E)), LAS)), add(div(add(div(neg(La), sub(M, E)), add(div(add(div(neg(Y), sub(M, E)), E), mul(sub(R, Y), mul(Gd, E))), add(div(sub(Pr, E), E), E))), mul(sub(R, Y), mul(Gd, LAS))), E))"
56,0.4939,55,"add(div(add(div(Y, sub(E, M)), EN), mul(sub(R, Y), mul(IE, LAS))), add(div(sub(Pr, E), add(sub(LAS, Pr), add(div(add(div(Y, sub(E, M)), EN), add(div(add(div(Y, sub(E, M)), EN), sub(R, Y)), add(div(sub(LAS, Pr), E), E))), E))), E))"
57,0.4940,31,"add(div(Ce, mul(sub(R, Y), mul(Gd, Gd))), add(div(sub(Pr, Nd), mul(sub(Nd, E), E)), add(div(sub(Gd, E), mul(sub(La, E), Pr)), E)))"
58,0.4952,58,"add(div(sub(Pr, E), add(sub(Nd, Pr), E)), add(div(add(add(div(sub(Pr, E), add(M, div(neg(R), sub(M, E)))), add(div(add(M, div(neg(R), sub(M, E))), mul(sub(R, Y), mul(M, LAS))), E)), div(neg(R), sub(M, E))), mul(sub(R, Y), mul(Nd, LAS))), E))"
59,0.4958,33,"add(div(add(div(div(neg(Y), div(add(neg(E), M), R)), Gd), Sm), mul(sub(R, Y), mul(Sm, LAS))), add(div(sub(Pr, E), add(sub(Nd, Sm), E)), E))"
60,0.4964,33,"add(div(add(div(div(neg(R), div(add(neg(E), M), Y)), Pr), Sm), mul(sub(R, Y), mul(Nd, IE))), add(div(div(sub(Pr, E), LAS), sub(Nd, E)), E))"
61,0.4965,47,"add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Gd, LAS))), add(div(sub(Pr, E), add(sub(LAS, Sm), add(div(add(div(add(M, M), add(neg(E), M)), Sm), mul(sub(R, Y), mul(M, LAS))), E))), E))"
62,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
63,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
64,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
65,0.4981,28,"add(div(sub(Pr, E), div(Sm, sub(Pr, E))), add(div(add(div(neg(La), sub(M, E)), M), mul(sub(R, Y), mul(Nd, Gd))), E))"
