Rank,RMSE,Length,Model Equation
76,0.8062,25,"add(div(Ce, add(sub(sub(Gd, sub(add(div(Ce, add(sub(sub(Gd, sub(E, Gd)), Ce), Pr)), EN), Gd)), Ce), Pr)), EN)"
77,0.8062,25,"add(div(Ce, add(sub(add(sub(Pr, Ce), Gd), add(div(Ce, add(sub(add(sub(Pr, Ce), Gd), E), Gd)), EN)), Gd)), EN)"
78,0.8062,25,"add(EN, div(Ce, add(sub(Gd, Ce), add(sub(Gd, add(EN, div(Ce, add(sub(Gd, E), add(sub(Gd, Ce), Pr))))), Pr))))"
79,0.8062,25,"add(div(Ce, add(sub(add(sub(Pr, Ce), Gd), add(div(Ce, add(sub(add(sub(Pr, Ce), Gd), E), Gd)), EN)), Gd)), EN)"
80,0.8062,25,"add(div(Ce, sub(Gd, sub(add(div(Ce, sub(Gd, sub(E, sub(Gd, sub(Ce, Pr))))), EN), sub(Gd, sub(Ce, Pr))))), EN)"
81,0.8062,29,"add(div(Ce, add(add(Gd, sub(sub(Gd, Ce), neg(La))), neg(add(div(Ce, add(add(Gd, sub(sub(Gd, Ce), neg(La))), neg(E))), EN)))), EN)"
82,0.8062,27,"add(div(Ce, sub(sub(Gd, Ce), neg(add(sub(Gd, add(div(Ce, sub(sub(Gd, Ce), neg(add(sub(Gd, E), La)))), EN)), La)))), EN)"
83,0.8062,29,"add(div(Ce, add(neg(Ce), add(Gd, add(neg(add(div(Ce, add(neg(Ce), add(Gd, add(neg(E), add(Gd, Pr))))), EN)), add(Gd, Pr))))), EN)"
84,0.8093,9,"add(div(sub(Ce, 3.853), sub(Pr, Gd)), EN)"
85,0.8094,10,"add(div(neg(add(Ce, -3.886)), sub(Gd, Pr)), EN)"
86,0.8150,9,"add(div(sub(3.635, Ce), sub(Gd, Pr)), EN)"
87,0.8165,12,"add(div(neg(div(add(Gd, -4.277), sub(E, Gd))), Sm), E)"
88,0.8188,25,"add(div(add(add(-6.704, Ce), Ce), add(Gd, sub(Gd, add(div(add(add(-6.704, Ce), Ce), add(Gd, sub(Gd, E))), EN)))), EN)"
89,0.8213,13,"add(div(add(Ce, div(sub(R, La), sub(M, EN))), Gd), EN)"
90,0.8217,20,"add(div(Ce, add(neg(E), add(add(neg(R), add(Gd, La)), add(neg(E), add(Gd, La))))), EN)"
91,0.8266,13,"add(div(Ce, sub(add(sub(add(Pr, Gd), Ce), Gd), E)), EN)"
92,0.8413,13,"add(div(sub(4.886, R), sub(sub(3.493, IE), sub(M, E))), EN)"
93,0.8487,13,"add(div(add(Ce, div(sub(Gd, Ce), sub(Ce, R))), Gd), EN)"
94,0.8546,11,"add(div(add(7.298, div(Sm, sub(Ce, La))), Gd), EN)"
95,0.8546,11,"add(div(add(7.298, div(Sm, sub(Ce, La))), Gd), EN)"
96,0.8554,11,"add(div(add(7.511, div(Sm, sub(Ce, La))), Gd), EN)"
97,0.8575,13,"add(div(add(7.585, div(sub(-1.736, Sm), sub(La, Ce))), Gd), EN)"
98,0.8601,11,"add(div(add(7.862, div(R, sub(Ce, Pr))), Gd), EN)"
99,0.8623,11,"add(div(add(R, div(Nd, sub(Ce, La))), Gd), EN)"
100,0.8629,9,"add(div(Ce, mul(sub(Pr, Gd), 2.445)), EN)"
101,0.8704,9,"add(div(Ce, sub(Gd, sub(E, Gd))), EN)"
102,0.8704,10,"add(div(Ce, sub(sub(Gd, E), neg(Gd))), EN)"
103,0.8704,9,"add(div(Ce, sub(Gd, sub(E, Gd))), EN)"
104,0.8704,9,"add(div(Ce, sub(add(Gd, Gd), E)), EN)"
105,0.8704,9,"add(div(Ce, sub(Gd, sub(E, Gd))), EN)"
106,0.8704,9,"add(div(Ce, add(sub(Gd, E), Gd)), EN)"
107,0.8704,10,"add(div(Ce, add(neg(E), add(Gd, Gd))), EN)"
108,0.8704,9,"add(div(Ce, add(Gd, sub(Gd, E))), EN)"
109,0.8704,9,"add(div(Ce, sub(Gd, sub(E, Gd))), EN)"
