Rank,RMSE,Length,Model Equation
44,0.5992,51,"add(div(sub(sub(M, La), add(add(add(add(add(sub(Y, EN), mul(sub(La, EN), sub(Nd, LAS))), mul(sub(La, EN), sub(Nd, La))), mul(sub(La, E), sub(Nd, Y))), mul(sub(La, E), sub(Nd, E))), mul(sub(La, E), sub(Nd, E)))), Y), E)"
45,0.6007,21,"add(div(sub(add(div(sub(Nd, R), mul(div(EN, E), sub(Nd, LAS))), EN), La), sub(Nd, Y)), E)"
46,0.6015,33,"add(div(sub(Nd, EN), sub(mul(Gd, Gd), mul(7.410, R))), add(div(sub(Y, EN), sub(mul(Y, Y), mul(R, IE))), add(mul(mul(0.055, M), sub(Pr, Y)), E)))"
47,0.6022,22,"add(div(neg(sub(La, add(div(sub(Nd, R), neg(sub(LAS, neg(mul(M, -0.929))))), EN))), sub(Nd, Y)), E)"
48,0.6048,29,"add(div(sub(EN, La), sub(Nd, Y)), add(div(div(sub(Nd, Ce), sub(M, LAS)), add(div(div(sub(Nd, Ce), sub(M, LAS)), 5.051), E)), E))"
49,0.6122,29,"add(sub(div(Pr, LAS), div(add(div(div(sub(Y, Sm), sub(Nd, EN)), Y), E), M)), add(div(div(sub(Y, Sm), sub(Nd, EN)), Y), E))"
50,0.6136,22,"add(div(neg(sub(La, add(div(sub(Nd, R), mul(div(Gd, Y), sub(Nd, LAS))), EN))), sub(Nd, Y)), E)"
51,0.6195,45,"sub(sub(E, div(sub(La, M), 3.758)), div(add(add(add(add(sub(E, M), mul(sub(La, EN), sub(Nd, IE))), mul(sub(La, E), sub(Nd, Ce))), mul(sub(La, E), sub(Nd, Y))), mul(sub(La, E), sub(Nd, Y))), Y))"
52,0.6196,67,"mul(0.482, add(mul(0.482, add(M, add(mul(sub(La, EN), sub(Y, Nd)), E))), add(div(sub(IE, add(mul(sub(Y, EN), neg(sub(mul(0.482, add(mul(0.482, add(M, add(mul(sub(La, EN), sub(Y, Nd)), E))), add(div(sub(Y, add(mul(sub(Y, EN), neg(sub(M, R))), E)), sub(Y, Nd)), E))), R))), E)), sub(Y, Nd)), E)))"
53,0.6264,27,"sub(E, div(add(sub(La, M), mul(sub(La, add(div(div(sub(EN, E), add(IE, -4.725)), add(IE, -4.725)), E)), sub(Nd, IE))), 2.234))"
